video,start,end,frames,detected,ratio
LapChol Case 0001 03,0,1867,1868,1115,0.5968950749464668
LapChol Case 0001 03,1928,2518,591,242,0.40947546531302875
LapChol Case 0001 03,2735,2876,142,23,0.1619718309859155
LapChol Case 0001 03,2944,9544,6601,4045,0.6127859415240116
LapChol Case 0001 04,0,1491,1492,1317,0.8827077747989276
LapChol Case 0001 04,1727,2631,905,559,0.6176795580110497
LapChol Case 0001 04,3601,3621,21,17,0.8095238095238095
LapChol Case 0001 04,5694,6013,320,144,0.45
LapChol Case 0001 04,6069,6239,171,126,0.7368421052631579
LapChol Case 0001 04,6329,6382,54,14,0.25925925925925924
LapChol Case 0001 04,6470,9583,3114,2430,0.7803468208092486
LapChol Case 0001 04,9670,10029,360,278,0.7722222222222223
LapChol Case 0001 05,0,9998,9999,5631,0.5631563156315632
LapChol Case 0002 02,0,9970,9971,3461,0.3471066091665831
LapChol Case 0002 03,0,566,567,351,0.6190476190476191
LapChol Case 0002 03,594,735,142,121,0.852112676056338
LapChol Case 0002 03,769,897,129,101,0.7829457364341085
LapChol Case 0002 03,947,1034,88,60,0.6818181818181818
LapChol Case 0002 03,1054,1092,39,7,0.1794871794871795
LapChol Case 0002 03,1111,9930,8820,5483,0.621655328798186
LapChol Case 0007 01,0,9929,9930,5842,0.5883182275931521
LapChol Case 0007 02,10,95,86,30,0.3488372093023256
LapChol Case 0007 02,129,1341,1213,409,0.3371805441055235
LapChol Case 0007 02,1389,2049,661,502,0.7594553706505295
LapChol Case 0007 02,2070,2113,44,41,0.9318181818181818
LapChol Case 0007 02,2128,2177,50,49,0.98
LapChol Case 0007 02,2192,2274,83,20,0.24096385542168675
LapChol Case 0007 02,2284,2438,155,103,0.6645161290322581
LapChol Case 0007 02,2451,2568,118,47,0.3983050847457627
LapChol Case 0007 02,2638,2710,73,12,0.1643835616438356
LapChol Case 0007 02,3269,3889,621,481,0.7745571658615137
LapChol Case 0007 02,3926,4063,138,107,0.7753623188405797
LapChol Case 0007 02,4477,4980,504,390,0.7738095238095238
LapChol Case 0007 02,5007,5120,114,64,0.5614035087719298
LapChol Case 0007 02,5129,5418,290,249,0.8586206896551725
LapChol Case 0007 02,5449,5550,102,79,0.7745098039215687
LapChol Case 0007 02,5575,5652,78,51,0.6538461538461539
LapChol Case 0007 02,5664,5732,69,45,0.6521739130434783
LapChol Case 0007 02,5751,5827,77,60,0.7792207792207793
LapChol Case 0007 02,5856,6131,276,185,0.6702898550724637
LapChol Case 0007 02,6147,6507,361,243,0.6731301939058172
LapChol Case 0007 02,6522,6637,116,54,0.46551724137931033
LapChol Case 0007 02,6819,7317,499,196,0.3927855711422846
LapChol Case 0007 02,7338,7390,53,33,0.6226415094339622
LapChol Case 0007 02,7400,7509,110,49,0.44545454545454544
LapChol Case 0007 02,7540,7607,68,35,0.5147058823529411
LapChol Case 0007 02,7633,7738,106,68,0.6415094339622641
LapChol Case 0007 02,8432,8744,313,212,0.6773162939297125
LapChol Case 0007 02,8952,9916,965,312,0.3233160621761658
LapChol Case 0007 03,17,9949,9933,4124,0.4151817175072989
LapChol Case 0012 03,0,104,105,57,0.5428571428571428
LapChol Case 0012 03,128,184,57,33,0.5789473684210527
LapChol Case 0012 03,207,251,45,38,0.8444444444444444
LapChol Case 0012 03,279,334,56,49,0.875
LapChol Case 0012 03,363,9968,9606,5430,0.5652717051842598
LapChol Case 0012 04,0,47,48,43,0.8958333333333334
LapChol Case 0012 04,70,2412,2343,1089,0.4647887323943662
LapChol Case 0012 04,2431,2450,20,10,0.5
LapChol Case 0012 04,2489,2593,105,27,0.2571428571428571
LapChol Case 0012 04,2607,2892,286,88,0.3076923076923077
LapChol Case 0012 04,2909,3006,98,39,0.3979591836734694
LapChol Case 0012 04,3029,3083,55,30,0.5454545454545454
LapChol Case 0012 04,3109,3203,95,19,0.2
LapChol Case 0012 04,3225,3345,121,14,0.11570247933884298
LapChol Case 0012 04,3653,3688,36,29,0.8055555555555556
LapChol Case 0012 04,4037,4271,235,140,0.5957446808510638
LapChol Case 0012 04,4290,4833,544,225,0.41360294117647056
LapChol Case 0012 04,5077,5204,128,0,0.0
LapChol Case 0012 04,5234,5453,220,21,0.09545454545454546
LapChol Case 0012 04,6209,6381,173,157,0.9075144508670521
LapChol Case 0012 04,6398,6462,65,41,0.6307692307692307
LapChol Case 0012 04,6518,6944,427,411,0.9625292740046838
LapChol Case 0012 04,6967,7143,177,164,0.9265536723163842
LapChol Case 0012 04,7154,7690,537,506,0.9422718808193669
LapChol Case 0012 04,7739,8108,370,284,0.7675675675675676
LapChol Case 0012 04,8119,8255,137,123,0.8978102189781022
LapChol Case 0012 04,8272,8431,160,143,0.89375
LapChol Case 0012 04,8929,9014,86,59,0.686046511627907
LapChol Case 0012 04,9043,9454,412,151,0.36650485436893204
LapChol Case 0012 04,9473,9742,270,73,0.27037037037037037
LapChol Case 0016 01,2464,2711,248,90,0.3629032258064516
LapChol Case 0016 01,3032,3437,406,358,0.8817733990147784
LapChol Case 0016 01,3481,5178,1698,1390,0.8186101295641932
LapChol Case 0016 01,5192,6645,1454,1437,0.9883081155433288
LapChol Case 0016 01,6672,9371,2700,2175,0.8055555555555556
LapChol Case 0016 01,9403,9970,568,279,0.49119718309859156
LapChol Case 0018 10,0,10020,10021,4045,0.40365233010677576
LapChol Case 0018 11,0,2901,2902,745,0.2567195037904893
LapChol Case 0018 11,2966,10022,7057,2494,0.35340796372396205
LapChol Case 0019 02,0,48,49,6,0.12244897959183673
LapChol Case 0019 02,366,442,77,9,0.11688311688311688
LapChol Case 0019 02,612,662,51,0,0.0
LapChol Case 0019 02,1423,1731,309,242,0.7831715210355987
LapChol Case 0019 02,1790,2025,236,168,0.711864406779661
LapChol Case 0019 02,2077,2314,238,1,0.004201680672268907
LapChol Case 0019 02,2341,2421,81,9,0.1111111111111111
LapChol Case 0019 02,2445,2533,89,7,0.07865168539325842
LapChol Case 0019 02,2553,2656,104,8,0.07692307692307693
LapChol Case 0019 02,2674,2783,110,5,0.045454545454545456
LapChol Case 0019 02,2798,2886,89,0,0.0
LapChol Case 0019 02,2909,3012,104,0,0.0
LapChol Case 0019 02,3037,3192,156,0,0.0
LapChol Case 0019 02,3215,3301,87,2,0.022988505747126436
LapChol Case 0019 02,3336,3431,96,0,0.0
LapChol Case 0019 02,3455,3531,77,10,0.12987012987012986
LapChol Case 0019 02,3556,3606,51,8,0.1568627450980392
LapChol Case 0019 02,3624,3693,70,2,0.02857142857142857
LapChol Case 0019 02,3708,3772,65,0,0.0
LapChol Case 0019 02,3799,3865,67,0,0.0
LapChol Case 0019 02,4039,4211,173,66,0.3815028901734104
LapChol Case 0019 02,4223,4278,56,11,0.19642857142857142
LapChol Case 0019 02,4301,4346,46,1,0.021739130434782608
LapChol Case 0019 02,4384,7856,3473,732,0.21076878779153468
LapChol Case 0019 02,7894,9498,1605,209,0.13021806853582554
LapChol Case 0019 03,0,20,21,2,0.09523809523809523
LapChol Case 0019 03,56,165,110,1,0.00909090909090909
LapChol Case 0019 03,210,355,146,0,0.0
LapChol Case 0019 03,391,414,24,0,0.0
LapChol Case 0019 03,489,686,198,0,0.0
LapChol Case 0019 03,719,804,86,1,0.011627906976744186
LapChol Case 0019 03,2607,3157,551,195,0.35390199637023595
LapChol Case 0019 03,3192,3380,189,47,0.24867724867724866
LapChol Case 0019 03,3445,3486,42,2,0.047619047619047616
LapChol Case 0019 03,3531,3726,196,21,0.10714285714285714
LapChol Case 0019 03,4410,4778,369,43,0.11653116531165311
LapChol Case 0019 03,4811,4988,178,41,0.2303370786516854
LapChol Case 0019 03,5018,5089,72,0,0.0
LapChol Case 0019 03,5106,5191,86,9,0.10465116279069768
LapChol Case 0019 03,5205,5302,98,9,0.09183673469387756
LapChol Case 0019 03,5324,6268,945,299,0.3164021164021164
LapChol Case 0019 03,6309,7187,879,614,0.6985210466439136
LapChol Case 0019 03,7235,9958,2724,1482,0.5440528634361234
LapChol Case 0020 02,26,9793,9768,5547,0.5678746928746928
LapChol Case 0020 03,0,10012,10013,7780,0.7769899131129532
LapChol Case 0023 03,0,18,19,2,0.10526315789473684
LapChol Case 0023 03,36,9990,9955,7452,0.74856855851331
LapChol Case 0023 04,0,177,178,77,0.43258426966292135
LapChol Case 0023 04,196,261,66,17,0.25757575757575757
LapChol Case 0023 04,271,336,66,11,0.16666666666666666
LapChol Case 0023 04,365,382,18,9,0.5
LapChol Case 0023 04,390,396,7,6,0.8571428571428571
LapChol Case 0023 04,411,9721,9311,8046,0.8641391902051337
