frame,tti-go,tti-nogo,tti-void
54,0%,0%,100%
55,0%,0%,100%
88,0%,0%,100%
91,0%,0%,100%
116,0%,0%,100%
138,0%,0%,100%
141,0%,0%,100%
150,0%,0%,100%
234,0%,0%,100%
235,0%,0%,100%
236,0%,0%,100%
251,0%,0%,100%
252,0%,0%,100%
253,0%,0%,100%
268,0%,0%,100%
269,0%,0%,100%
270,0%,0%,100%
381,0%,0%,100%
444,0%,0%,100%
708,0%,0%,100%
722,0%,0%,100%
723,0%,0%,100%
765,0%,0%,100%
766,0%,0%,100%
772,0%,0%,100%
806,0%,0%,100%
924,0%,0%,100%
928,0%,0%,100%
929,0%,0%,100%
939,0%,0%,100%
940,0%,0%,100%
941,0%,0%,100%
942,0%,0%,100%
943,0%,0%,100%
944,0%,0%,100%
946,0%,0%,100%
949,0%,0%,100%
950,0%,0%,100%
951,0%,0%,100%
952,0%,0%,100%
953,0%,0%,100%
956,0%,0%,100%
957,0%,0%,100%
958,0%,0%,100%
959,0%,0%,100%
960,0%,0%,100%
961,0%,0%,100%
963,0%,0%,100%
964,0%,0%,100%
965,0%,0%,100%
966,0%,0%,100%
967,0%,0%,100%
969,0%,0%,100%
970,0%,0%,100%
971,0%,0%,100%
972,0%,0%,100%
973,0%,0%,100%
974,0%,0%,100%
975,0%,0%,100%
977,0%,0%,100%
978,0%,0%,100%
979,0%,0%,100%
980,0%,0%,100%
981,0%,0%,100%
982,0%,0%,100%
983,0%,0%,100%
984,0%,0%,100%
985,0%,0%,100%
986,0%,0%,100%
987,0%,0%,100%
988,0%,0%,100%
989,0%,0%,100%
990,0%,0%,100%
991,0%,0%,100%
992,0%,0%,100%
993,0%,0%,100%
994,0%,0%,100%
996,0%,0%,100%
997,0%,0%,100%
998,0%,0%,100%
999,0%,0%,100%
1000,0%,0%,100%
1001,0%,0%,100%
1002,0%,0%,100%
1003,0%,0%,100%
1004,0%,0%,100%
1015,0%,0%,100%
1016,0%,0%,100%
1017,0%,0%,100%
1018,0%,0%,100%
1019,0%,0%,100%
1020,0%,0%,100%
1021,0%,0%,100%
1023,0%,0%,100%
1024,0%,0%,100%
1027,0%,0%,100%
1031,0%,0%,100%
1032,0%,0%,100%
1033,0%,0%,100%
1035,0%,0%,100%
1039,0%,0%,100%
1044,0%,0%,100%
1045,0%,0%,100%
1047,0%,0%,100%
1048,0%,0%,100%
1050,0%,0%,100%
1051,0%,0%,100%
1052,0%,0%,100%
1055,0%,0%,100%
1056,0%,0%,100%
1057,0%,0%,100%
1058,0%,0%,100%
1065,0%,0%,100%
1067,0%,0%,100%
1069,0%,0%,100%
1070,0%,0%,100%
1073,0%,0%,100%
1076,0%,0%,100%
1078,0%,0%,100%
1079,0%,0%,100%
1080,0%,0%,100%
1081,0%,0%,100%
1082,0%,0%,100%
1083,0%,0%,100%
1084,0%,0%,100%
1085,0%,0%,100%
1086,0%,0%,100%
1087,0%,0%,100%
1088,0%,0%,100%
1089,0%,0%,100%
1090,0%,0%,100%
1091,0%,0%,100%
1092,0%,0%,100%
1093,0%,0%,100%
1094,0%,0%,100%
1095,0%,0%,100%
1096,0%,0%,100%
1097,0%,0%,100%
1098,0%,0%,100%
1099,0%,0%,100%
1100,0%,0%,100%
1101,0%,0%,100%
1102,0%,0%,100%
1103,0%,0%,100%
1104,0%,0%,100%
1105,0%,0%,100%
1106,0%,0%,100%
1107,0%,0%,100%
1108,0%,0%,100%
1110,0%,0%,100%
1111,0%,0%,100%
1118,0%,0%,100%
1119,0%,0%,100%
1120,0%,0%,100%
1121,0%,0%,100%
1122,0%,0%,100%
1123,0%,0%,100%
1216,0%,0%,100%
1218,0%,0%,100%
1219,0%,0%,100%
1221,0%,0%,100%
1223,0%,0%,100%
1330,0%,0%,100%
1364,0%,0%,100%
1371,0%,0%,100%
1382,0%,0%,100%
1384,0%,0%,100%
1393,0%,0%,100%
1400,0%,0%,100%
1401,0%,0%,100%
1402,0%,0%,100%
1406,0%,0%,100%
1407,0%,0%,100%
1408,0%,0%,100%
1409,0%,0%,100%
1410,0%,0%,100%
1411,0%,0%,100%
1412,0%,0%,100%
1414,0%,0%,100%
1415,0%,0%,100%
1416,0%,0%,100%
1417,0%,0%,100%
1418,0%,0%,100%
1419,0%,0%,100%
1420,0%,0%,100%
1421,0%,0%,100%
1422,0%,0%,100%
1423,0%,0%,100%
1424,0%,0%,100%
1425,0%,0%,100%
1426,0%,0%,100%
1427,0%,0%,100%
1428,0%,0%,100%
1431,0%,0%,100%
1432,0%,0%,100%
1433,0%,0%,100%
1434,0%,0%,100%
1435,0%,0%,100%
1436,0%,0%,100%
1437,0%,0%,100%
1438,0%,0%,100%
1439,0%,0%,100%
1440,0%,0%,100%
1441,0%,0%,100%
1442,0%,0%,100%
1443,0%,0%,100%
1444,0%,0%,100%
1445,0%,0%,100%
1446,0%,0%,100%
1447,0%,0%,100%
1448,0%,0%,100%
1449,0%,0%,100%
1450,0%,0%,100%
1451,0%,0%,100%
1452,0%,0%,100%
1453,0%,0%,100%
1454,0%,0%,100%
1455,0%,0%,100%
1456,0%,0%,100%
1458,0%,0%,100%
1459,0%,0%,100%
1460,0%,0%,100%
1463,0%,0%,100%
1466,0%,0%,100%
1467,0%,0%,100%
1468,0%,0%,100%
1469,0%,0%,100%
1470,0%,0%,100%
1471,0%,0%,100%
1473,0%,0%,100%
1474,0%,0%,100%
1475,0%,0%,100%
1476,0%,0%,100%
1477,0%,0%,100%
1478,0%,0%,100%
1479,0%,0%,100%
1480,0%,0%,100%
1481,0%,0%,100%
1482,0%,0%,100%
1483,0%,0%,100%
1484,0%,0%,100%
1485,0%,0%,100%
1486,0%,0%,100%
1487,0%,0%,100%
1488,0%,0%,100%
1489,0%,0%,100%
1490,0%,0%,100%
1492,0%,0%,100%
1494,0%,0%,100%
1495,0%,0%,100%
1496,0%,0%,100%
1499,0%,0%,100%
1502,0%,0%,100%
1503,0%,0%,100%
1550,0%,0%,100%
1675,0%,0%,100%
1676,0%,0%,100%
1677,0%,0%,100%
1683,0%,0%,100%
1715,0%,0%,100%
1719,0%,0%,100%
1724,0%,0%,100%
1725,0%,0%,100%
1726,0%,0%,100%
1727,0%,0%,100%
1728,0%,0%,100%
1729,0%,0%,100%
1731,0%,0%,100%
1733,0%,0%,100%
1734,0%,0%,100%
1735,0%,0%,100%
1753,0%,0%,100%
1756,0%,0%,100%
1776,0%,0%,100%
1785,0%,0%,100%
1788,0%,0%,100%
1796,0%,0%,100%
1802,0%,0%,100%
1809,0%,0%,100%
1810,0%,0%,100%
1811,0%,0%,100%
1812,0%,0%,100%
1813,0%,0%,100%
1815,0%,0%,100%
1819,0%,0%,100%
1846,0%,0%,100%
1938,0%,0%,100%
1939,0%,0%,100%
1941,0%,0%,100%
1946,0%,0%,100%
1947,0%,0%,100%
2000,0%,0%,100%
2001,0%,0%,100%
2002,0%,0%,100%
2003,0%,0%,100%
2005,0%,0%,100%
2006,0%,0%,100%
2007,0%,0%,100%
2008,0%,0%,100%
2009,0%,0%,100%
2010,0%,0%,100%
2011,0%,0%,100%
2012,0%,0%,100%
2013,0%,0%,100%
2014,0%,0%,100%
2015,0%,0%,100%
2016,0%,0%,100%
2017,0%,0%,100%
2018,0%,0%,100%
2019,0%,0%,100%
2020,0%,0%,100%
2021,0%,0%,100%
2022,0%,0%,100%
2023,0%,0%,100%
2024,0%,0%,100%
2025,0%,0%,100%
2026,0%,0%,100%
2027,0%,0%,100%
2029,0%,0%,100%
2030,0%,0%,100%
2031,0%,0%,100%
2032,0%,0%,100%
2033,0%,0%,100%
2034,0%,0%,100%
2035,0%,0%,100%
2036,0%,0%,100%
2037,0%,0%,100%
2038,0%,0%,100%
2039,0%,0%,100%
2040,0%,0%,100%
2042,0%,0%,100%
2044,0%,0%,100%
2045,0%,0%,100%
2046,0%,0%,100%
2050,0%,0%,100%
2051,0%,0%,100%
2052,0%,0%,100%
2053,0%,0%,100%
2056,0%,0%,100%
2057,0%,0%,100%
2058,0%,0%,100%
2060,0%,0%,100%
2061,0%,0%,100%
2062,0%,0%,100%
2063,0%,0%,100%
2064,0%,0%,100%
2065,0%,0%,100%
2066,0%,0%,100%
2067,0%,0%,100%
2068,0%,0%,100%
2069,0%,0%,100%
2070,0%,0%,100%
2071,0%,0%,100%
2072,0%,0%,100%
2074,0%,0%,100%
2075,0%,0%,100%
2076,0%,0%,100%
2079,0%,0%,100%
2080,0%,0%,100%
2081,0%,0%,100%
2083,0%,0%,100%
2084,0%,0%,100%
2089,0%,0%,100%
2090,0%,0%,100%
2095,0%,0%,100%
2096,0%,0%,100%
2098,0%,0%,100%
2099,0%,0%,100%
2100,0%,0%,100%
2101,0%,0%,100%
2105,0%,0%,100%
2106,0%,0%,100%
2107,0%,0%,100%
2108,0%,0%,100%
2112,0%,0%,100%
2114,0%,0%,100%
2115,0%,0%,100%
2116,0%,0%,100%
2117,0%,0%,100%
2120,0%,0%,100%
2122,0%,0%,100%
2124,0%,0%,100%
2127,0%,0%,100%
2128,0%,0%,100%
2143,0%,0%,100%
2144,0%,0%,100%
2146,0%,0%,100%
2161,0%,0%,100%
2167,0%,0%,100%
2191,0%,0%,100%
2194,0%,0%,100%
2197,0%,0%,100%
2198,0%,0%,100%
2221,0%,0%,100%
2227,0%,0%,100%
2228,0%,0%,100%
2229,0%,0%,100%
2234,0%,0%,100%
2235,0%,0%,100%
2251,0%,0%,100%
2265,0%,0%,100%
2266,0%,0%,100%
2271,0%,0%,100%
2275,0%,0%,100%
2277,0%,0%,100%
2278,0%,0%,100%
2279,0%,0%,100%
2280,0%,0%,100%
2281,0%,0%,100%
2282,0%,0%,100%
2283,0%,0%,100%
2284,0%,0%,100%
2285,0%,0%,100%
2286,0%,0%,100%
2287,0%,0%,100%
2288,0%,0%,100%
2290,0%,0%,100%
2291,0%,0%,100%
2296,0%,0%,100%
2313,0%,0%,100%
2315,0%,0%,100%
2320,0%,0%,100%
2321,0%,0%,100%
2322,0%,0%,100%
2329,0%,0%,100%
2332,0%,0%,100%
2334,0%,0%,100%
2338,0%,0%,100%
2340,0%,0%,100%
2349,0%,0%,100%
2353,0%,0%,100%
2355,0%,0%,100%
2356,0%,0%,100%
2368,0%,0%,100%
2369,0%,0%,100%
2372,0%,0%,100%
2373,0%,0%,100%
2375,0%,0%,100%
2376,0%,0%,100%
2382,0%,0%,100%
2385,0%,0%,100%
2387,0%,0%,100%
2389,0%,0%,100%
2391,0%,0%,100%
2393,0%,0%,100%
2394,0%,0%,100%
2395,0%,0%,100%
2396,0%,0%,100%
2402,0%,0%,100%
2409,0%,0%,100%
2411,0%,0%,100%
2413,0%,0%,100%
2416,0%,0%,100%
2423,0%,0%,100%
2424,0%,0%,100%
2425,0%,0%,100%
2426,0%,0%,100%
2428,0%,0%,100%
2438,0%,0%,100%
2440,0%,0%,100%
2446,0%,0%,100%
2452,0%,0%,100%
2453,0%,0%,100%
2456,0%,0%,100%
2463,0%,0%,100%
2466,0%,0%,100%
2481,0%,0%,100%
2482,0%,0%,100%
2483,0%,0%,100%
2485,0%,0%,100%
2486,0%,0%,100%
2489,0%,0%,100%
2493,0%,0%,100%
2494,0%,0%,100%
2496,0%,0%,100%
2497,0%,0%,100%
2498,0%,0%,100%
2499,0%,0%,100%
2644,0%,0%,100%
2645,0%,0%,100%
2648,0%,0%,100%
2649,0%,0%,100%
2655,0%,0%,100%
2656,0%,0%,100%
2657,0%,0%,100%
2658,0%,0%,100%
2661,0%,0%,100%
2667,0%,0%,100%
2672,0%,0%,100%
2674,0%,0%,100%
2675,0%,0%,100%
2676,0%,0%,100%
2688,0%,0%,100%
2708,0%,0%,100%
2709,0%,0%,100%
2710,0%,0%,100%
2736,0%,0%,100%
2739,0%,0%,100%
2740,0%,0%,100%
2758,0%,0%,100%
2766,0%,0%,100%
2814,0%,0%,100%
2815,0%,0%,100%
2817,0%,0%,100%
2838,0%,0%,100%
2839,0%,0%,100%
2840,0%,0%,100%
2843,0%,0%,100%
2846,0%,0%,100%
2847,0%,0%,100%
2849,0%,0%,100%
2850,0%,0%,100%
2851,0%,0%,100%
2852,0%,0%,100%
2853,0%,0%,100%
2854,0%,0%,100%
2855,0%,0%,100%
2856,0%,0%,100%
2857,0%,0%,100%
2931,0%,0%,100%
2939,0%,0%,100%
2940,0%,0%,100%
2948,0%,0%,100%
2950,0%,0%,100%
2951,0%,0%,100%
2952,0%,0%,100%
2953,0%,0%,100%
2954,0%,0%,100%
2956,0%,0%,100%
2957,0%,0%,100%
3017,0%,0%,100%
3057,0%,0%,100%
3059,0%,0%,100%
3062,0%,0%,100%
3063,0%,0%,100%
3074,0%,0%,100%
3075,0%,0%,100%
3099,0%,0%,100%
3114,0%,0%,100%
3127,0%,0%,100%
3131,0%,0%,100%
3133,0%,0%,100%
3135,0%,0%,100%
3136,0%,0%,100%
3137,0%,0%,100%
3176,0%,0%,100%
3177,0%,0%,100%
3179,0%,0%,100%
3180,0%,0%,100%
3181,0%,0%,100%
3182,0%,0%,100%
3248,0%,0%,100%
3255,0%,0%,100%
3256,0%,0%,100%
3272,0%,0%,100%
3275,0%,0%,100%
3276,0%,0%,100%
3279,0%,0%,100%
3280,0%,0%,100%
3298,0%,0%,100%
3299,0%,0%,100%
3300,0%,0%,100%
3301,0%,0%,100%
3302,0%,0%,100%
3318,0%,0%,100%
3373,0%,0%,100%
3374,0%,0%,100%
3375,0%,0%,100%
3376,0%,0%,100%
3377,0%,0%,100%
3378,0%,0%,100%
3379,0%,0%,100%
3380,0%,0%,100%
3381,0%,0%,100%
3382,0%,0%,100%
3383,0%,0%,100%
3384,0%,0%,100%
3385,0%,0%,100%
3390,0%,0%,100%
3391,0%,0%,100%
3392,0%,0%,100%
3393,0%,0%,100%
3394,0%,0%,100%
3396,0%,0%,100%
3397,0%,0%,100%
3399,0%,0%,100%
3400,0%,0%,100%
3401,0%,0%,100%
3402,0%,0%,100%
3403,0%,0%,100%
3404,0%,0%,100%
3406,0%,0%,100%
3407,0%,0%,100%
3409,0%,0%,100%
3410,0%,0%,100%
3426,0%,0%,100%
3427,0%,0%,100%
3441,0%,0%,100%
3443,0%,0%,100%
3447,0%,0%,100%
3448,0%,0%,100%
3450,0%,0%,100%
3452,0%,0%,100%
3454,0%,0%,100%
3455,0%,0%,100%
3479,0%,0%,100%
3483,0%,0%,100%
3528,0%,0%,100%
3529,0%,0%,100%
3530,0%,0%,100%
3645,0%,0%,100%
3772,0%,0%,100%
3773,0%,0%,100%
3777,0%,0%,100%
3791,0%,0%,100%
3794,0%,0%,100%
3795,0%,0%,100%
3800,0%,0%,100%
3806,0%,0%,100%
3811,0%,0%,100%
3813,0%,0%,100%
3814,0%,0%,100%
3815,0%,0%,100%
3817,0%,0%,100%
3851,0%,0%,100%
3857,0%,0%,100%
3973,0%,0%,100%
3980,0%,0%,100%
3992,0%,0%,100%
4024,0%,0%,100%
4036,0%,0%,100%
4037,0%,0%,100%
4039,0%,0%,100%
4041,0%,0%,100%
4043,0%,0%,100%
4044,0%,0%,100%
4045,0%,0%,100%
4046,0%,0%,100%
4047,0%,0%,100%
4048,0%,0%,100%
4054,0%,0%,100%
4055,0%,0%,100%
4056,0%,0%,100%
4057,0%,0%,100%
4058,0%,0%,100%
4060,0%,0%,100%
4062,0%,0%,100%
4064,0%,0%,100%
4065,0%,0%,100%
4066,0%,0%,100%
4068,0%,0%,100%
4069,0%,0%,100%
4089,0%,0%,100%
4090,0%,0%,100%
4091,0%,0%,100%
4093,0%,0%,100%
4097,0%,0%,100%
4098,0%,0%,100%
4102,0%,0%,100%
4106,0%,0%,100%
4108,0%,0%,100%
4109,0%,0%,100%
4110,0%,0%,100%
4111,0%,0%,100%
4115,0%,0%,100%
4116,0%,0%,100%
4117,0%,0%,100%
4124,0%,0%,100%
4125,0%,0%,100%
4126,0%,0%,100%
4127,0%,0%,100%
4128,0%,0%,100%
4130,0%,0%,100%
4131,0%,0%,100%
4132,0%,0%,100%
4133,0%,0%,100%
4134,0%,0%,100%
4135,0%,0%,100%
4136,0%,0%,100%
4137,0%,0%,100%
4138,0%,0%,100%
4139,0%,0%,100%
4140,0%,0%,100%
4142,0%,0%,100%
4143,0%,0%,100%
4145,0%,0%,100%
4146,0%,0%,100%
4147,0%,0%,100%
4148,0%,0%,100%
4149,0%,0%,100%
4150,0%,0%,100%
4151,0%,0%,100%
4152,0%,0%,100%
4153,0%,0%,100%
4154,0%,0%,100%
4155,0%,0%,100%
4156,0%,0%,100%
4157,0%,0%,100%
4158,0%,0%,100%
4159,0%,0%,100%
4160,0%,0%,100%
4161,0%,0%,100%
4162,0%,0%,100%
4163,0%,0%,100%
4164,0%,0%,100%
4165,0%,0%,100%
4168,0%,0%,100%
4169,0%,0%,100%
4170,0%,0%,100%
4171,0%,0%,100%
4172,0%,0%,100%
4173,0%,0%,100%
4174,0%,0%,100%
4175,0%,0%,100%
4176,0%,0%,100%
4178,0%,0%,100%
4179,0%,0%,100%
4180,0%,0%,100%
4181,0%,0%,100%
4182,0%,0%,100%
4184,0%,0%,100%
4185,0%,0%,100%
4189,0%,0%,100%
4193,0%,0%,100%
4194,0%,0%,100%
4195,0%,0%,100%
4196,0%,0%,100%
4197,0%,0%,100%
4198,0%,0%,100%
4200,0%,0%,100%
4201,0%,0%,100%
4202,0%,0%,100%
4203,0%,0%,100%
4205,0%,0%,100%
4206,0%,0%,100%
4207,0%,0%,100%
4208,0%,0%,100%
4212,0%,0%,100%
4215,0%,0%,100%
4219,0%,0%,100%
4220,0%,0%,100%
4221,0%,0%,100%
4222,0%,0%,100%
4223,0%,0%,100%
4224,0%,0%,100%
4227,0%,0%,100%
4228,0%,0%,100%
4231,0%,0%,100%
4232,0%,0%,100%
4240,0%,0%,100%
4241,0%,0%,100%
4242,0%,0%,100%
4251,0%,0%,100%
4252,0%,0%,100%
4258,0%,0%,100%
4269,0%,0%,100%
4321,0%,0%,100%
4327,0%,0%,100%
4330,0%,0%,100%
4378,0%,0%,100%
4379,0%,0%,100%
4398,0%,0%,100%
4401,0%,0%,100%
4402,0%,0%,100%
4404,0%,0%,100%
4408,0%,0%,100%
4456,0%,0%,100%
4457,0%,0%,100%
4458,0%,0%,100%
4460,0%,0%,100%
4461,0%,0%,100%
4462,0%,0%,100%
4488,0%,0%,100%
4495,0%,0%,100%
4497,0%,0%,100%
4502,0%,0%,100%
4523,0%,0%,100%
4524,0%,0%,100%
4529,0%,0%,100%
4530,0%,0%,100%
4532,0%,0%,100%
4533,0%,0%,100%
4544,0%,0%,100%
4548,0%,0%,100%
4549,0%,0%,100%
4550,0%,0%,100%
4551,0%,0%,100%
4552,0%,0%,100%
4593,0%,0%,100%
4594,0%,0%,100%
4597,0%,0%,100%
4598,0%,0%,100%
4599,0%,0%,100%
4600,0%,0%,100%
4601,0%,0%,100%
4603,0%,0%,100%
4604,0%,0%,100%
4605,0%,0%,100%
4606,0%,0%,100%
4607,0%,0%,100%
4611,0%,0%,100%
4667,0%,0%,100%
4668,0%,0%,100%
4677,0%,0%,100%
4699,0%,0%,100%
4841,0%,0%,100%
4856,0%,0%,100%
4862,0%,0%,100%
4870,0%,0%,100%
4871,0%,0%,100%
4954,0%,0%,100%
4955,0%,0%,100%
4956,0%,0%,100%
4957,0%,0%,100%
4958,0%,0%,100%
4959,0%,0%,100%
4961,0%,0%,100%
4962,0%,0%,100%
4963,0%,0%,100%
4964,0%,0%,100%
4967,0%,0%,100%
4968,0%,0%,100%
4969,0%,0%,100%
4970,0%,0%,100%
4971,0%,0%,100%
4972,0%,0%,100%
4974,0%,0%,100%
4975,0%,0%,100%
4976,0%,0%,100%
4977,0%,0%,100%
4978,0%,0%,100%
4979,0%,0%,100%
4980,0%,0%,100%
4981,0%,0%,100%
4982,0%,0%,100%
4983,0%,0%,100%
4984,0%,0%,100%
4985,0%,0%,100%
4986,0%,0%,100%
4987,0%,0%,100%
4988,0%,0%,100%
4989,0%,0%,100%
4990,0%,0%,100%
4991,0%,0%,100%
4992,0%,0%,100%
4993,0%,0%,100%
4994,0%,0%,100%
4995,0%,0%,100%
4996,0%,0%,100%
4997,0%,0%,100%
4998,0%,0%,100%
5002,0%,0%,100%
5005,0%,0%,100%
5006,0%,0%,100%
5008,0%,0%,100%
5009,0%,0%,100%
5010,0%,0%,100%
5011,0%,0%,100%
5012,0%,0%,100%
5014,0%,0%,100%
5015,0%,0%,100%
5016,0%,0%,100%
5018,0%,0%,100%
5019,0%,0%,100%
5020,0%,0%,100%
5021,0%,0%,100%
